country,language,count,percent
Thailand,Thai; Central Thai,632,42.13333333333333
Thailand,Other,48,3.2
Thailand,"Other local; aboriginal; tribal, community",6,0.4
Tunisia,Arabic,12,0.9966777408637874
Tunisia,Berber; Amazigh; Tamaziɣt,1,0.08305647840531562
Tunisia,Tunisian Arabic; Tunisian,1191,98.9202657807309
Ukraine,Russian,505,39.23853923853924
Ukraine,Ukrainian,767,59.59595959595959
Ukraine,Other,15,1.1655011655011656
Egypt,Arabic,1200,100.0
Great Britain,English,2392,92.71317829457364
Great Britain,Unlisted Language,1,0.03875968992248062
Great Britain,Polish,28,1.0852713178294573
Great Britain,Unlisted Language,1,0.03875968992248062
Great Britain,Unlisted Language,14,0.5426356589147286
Great Britain,Other,144,5.5813953488372094
United States,English,2413,93.31013147718484
United States,Spanish; Castilian,116,4.4856921887084305
United States,Japanese,1,0.038669760247486466
United States,Standard Chinese; Mandarin; Putonghua; Guoyu,21,0.8120649651972157
United States,Vietnamese,3,0.11600928074245939
United States,Other,32,1.237432327919567
Uruguay,English,1,0.10030090270812438
Uruguay,Spanish; Castilian,995,99.79939819458376
Uruguay,Other,1,0.10030090270812438
Uzbekistan,Unlisted Language,36,2.88
Uzbekistan,Kazakh,19,1.52
Uzbekistan,Russian,45,3.5999999999999996
Uzbekistan,Tajik,74,5.92
Uzbekistan,Turkmen,4,0.32
Uzbekistan,Uzbek,1068,85.44
Uzbekistan,Other,4,0.32
Venezuela,Spanish; Castilian,1189,99.91596638655463
Venezuela,Italian,1,0.08403361344537816
Northern Ireland,English,428,95.96412556053812
Northern Ireland,Unlisted Language,2,0.4484304932735426
Northern Ireland,Polish,4,0.8968609865470852
Northern Ireland,Other,12,2.690582959641256
