lang1,lang2,weight
so,sq,11180
sq,sr,3855
sr,ss,961
sr,st,664
sr,srn,1046
srn,ss,4328
srn,st,4184
ss,st,6354
srn,stq,5324
st,stq,5109
ss,stq,6438
stq,su,19224
stq,sv,1596
su,sv,24540
sv,sw,757
sw,szl,6019
sw,syl,4145
syl,szl,2178
szl,szy,5573
szl,ta,5234
szy,ta,3048
ta,tcy,2745
ta,tay,1161
ta,tdd,1545
tay,tcy,1698
tay,tdd,902
tcy,tdd,2074
ta,te,2090
tay,te,2762
tcy,te,6314
tdd,te,2130
te,tet,3939
te,tg,10165
tet,tg,2780
tg,th,5481
th,tk,2511
th,tl,2445
th,ti,1105
ti,tl,2180
tk,tl,43864
ti,tk,7505
ti,tig,286
tig,tk,207
tig,tl,81
tl,tn,2620
tl,tpi,3555
tn,tpi,4318
tl,tly,11332
tly,tpi,7202
tl,to,2924
tly,tn,2179
tly,to,3445
tn,to,3278
to,tpi,6561
tl,tr,737
tpi,tr,6076
tly,tr,18973
tn,tr,366
to,tr,210
tr,ts,1619
tr,trv,652
trv,ts,2446
ts,tt,606
tt,tum,5633
tt,tw,888
tt,tyv,837
tt,ty,390
tum,tw,6141
tum,ty,4326
tw,ty,4548
tum,tyv,2262
tt,udm,1369
tyv,udm,7713
tw,tyv,1991
ty,tyv,1410
tum,udm,7238
ty,udm,7205
tw,udm,7501
udm,ug,18665
udm,uk,4736
ug,uk,3926
uk,ur,983
ur,uz,622
uz,ve,1672
ve,vec,1156
ve,vep,160
vec,vep,5155
vep,vi,919
vi,vls,1500
vi,vo,112
vls,vo,20412
vo,wa,14882
vo,war,956
wa,war,15892
war,wo,1844
war,wuu,4486
wo,wuu,12403
wuu,xmf,11828
wuu,xh,6315
wuu,xal,5417
xal,xh,6109
xal,xmf,12906
xh,xmf,5475
xmf,yi,14151
xmf,yo,3626
yi,yo,17257
yo,za,10713
yo,zea,12158
yo,zgh,5730
za,zea,19924
za,zgh,11206
zea,zgh,9541
yo,yue,5
yue,za,6
yue,zea,4
zgh,zh,1392
zh-classical,zh-min-nan,7652
zh-min-nan,zh-yue,8
zh-yue,zu,7694
aa,ace,196
aa,ady,62
af,am,651
af,ami,71
af,alt,57
af,an,52
ak,als,795
ak,am,229
ak,alt,86
ak,ami,35
an,ann,1378
an,anp,4378
ar,arc,1063
ar,ary,775
ar,as,1
arc,as,63
ary,as,178
atj,az,35
ba,bar,2850
ba,bat-smg,376
ba,bcl,386
bar,bcl,6146
ban,bcl,2602
ba,bbc,46
ban,bbc,349
bar,bbc,1060
